DTL_ADRES,USE_SE_CD,LO,VT_ACMDFCLTY_NM,RN_DTL_ADRES,ACMD_BULD_MNG_NO,BDONG_CD,ARCD,HDONG_CD,FCLTY_AR,LA,ACMDFCLTY_SN,EQK_ACMDFCLTY_ADRES,TELNO,VT_ACMD_PSBL_NMPR
,1,126.7982764,문산동초등학교 운동장,경기도 파주시 문산읍 선유울3길 85,,4148025023,4148000000,4148025000,3720,37.86537562,44,경기도 파주시 문산읍 선유리 788-1,031-953-8150,4509
,1,126.7848351,임진초등학교 운동장,경기도 파주시 문산읍 문향로17번길 36,,4148025021,4148000000,4148025000,3798,37.85451442,45,경기도 파주시 문산읍 문산리 21,031-954-4046,4604
,1,126.7866742,자유초등학교 운동장,경기도 파주시 문산읍 방촌로 1722,,4148025022,4148000000,4148025000,3230,37.86548014,46,경기도 파주시 문산읍 당동리 939,031-954-3813,3915
,1,126.7760611,문산북중학교  운동장,경기도 파주시 문산읍 당동1로 22,,4148025022,4148000000,4148025000,5141,37.86251246,47,경기도 파주시 문산읍 당동리 149,031-950-9660,6232
,1,126.8021223,선유중학교 운동장,경기도 파주시 문산읍 독서울1길 37,,4148025023,4148000000,4148025000,2829,37.86657252,48,경기도 파주시 문산읍 선유리 1395,031-956-8400,3429
,1,126.7813818,파주고등학교 운동장,경기도 파주시 문산읍 독산로31번길 39,,4148025022,4148000000,4148025000,6400,37.86005066,51,경기도 파주시 문산읍 당동리 140,031-953-9566,7758
83-0,1,126.8170631,2호 근린공원,경기도 화성시 만세구 꽃내음1길 30(새솔동),,4159110100,4159000000,4159151000,27298,37.2827605,124,경기도 화성시 만세구 새솔동 83,031-5189-3456,33088
,1,127.5689732,옥천중학교 운동장,충청북도 옥천군 옥천읍 삼양로 81,,4373025038,4373000000,4373025000,6730,36.30509982,16,충청북도 옥천군 옥천읍 삼양리 163,043-733-5950,8157
,1,126.8070636,봉일천초등학교 운동장,경기도 파주시 조리읍 통일로 333,,4148026221,4148000000,4148026200,6579,37.74481335,53,경기도 파주시 조리읍 봉일천리 191-6,031-944-7022,7975
,1,128.175353,인제중학교,강원특별자치도 인제군 인제읍 인제로231번길 12,,5181025021,5181000000,5181025000,5030,38.07211894,19,강원특별자치도 인제군 인제읍 상동리 26-2,033-460-4656,6097
,1,126.8687973,법원여자중학교 운동장,경기도 파주시 법원읍 자운서원로 31,,4148025623,4148000000,4148025600,5400,37.85239809,58,경기도 파주시 법원읍 가야리 57-1,031-958-0788,6545
,1,128.2095668,서화중학교,강원특별자치도 인제군 서화면 천도로 112(서화중학교),,5181034021,5181000000,5181034000,6000,38.22151396,21,강원특별자치도 인제군 서화면 천도리 619,033-460-4656,7273
,1,128.1784634,인제고등학교,강원특별자치도 인제군 인제읍 인제로249번길 22,,5181025023,5181000000,5181025000,7140,38.07322819,22,강원특별자치도 인제군 인제읍 합강리 344,033-460-4656,8655
,1,127.6203831,동이면사무소,충청북도 옥천군 동이면 평산4길 2,,4373031021,4373000000,4373031000,380,36.28366471,17,충청북도 옥천군 동이면 평산리 976-2,043-730-4502,460
,1,126.709434,마장초등학교 운동장,인천광역시 부평구 안남로 266(청천동),,2823710400,2823700000,2823758000,2340,37.506609,25,인천광역시 부평구 청천동 336-10,032-505-5092,2836
,1,126.8225893,단원중학교 운동장,경기도 안산시 단원구 단원로 27(고잔동),,4127310100,4127000000,4127352500,3957,37.32748587,52,경기도 안산시 단원구 고잔동 431-4,070-5202-2206,4796
,1,126.8397504,중앙중학교 운동장,경기도 안산시 단원구 안산천서로 65(고잔동),,4127310100,4127000000,4127353200,14236,37.32165846,55,경기도 안산시 단원구 고잔동 673-2,070-4355-1777,17256
,1,126.6514869,왕길근린공원,인천광역시 서구 검단로 427(왕길동),,2826012000,2826000000,2826072000,8180,37.60053562,65,인천광역시 서구 왕길동 649-4,032-560-4700,9915
,1,129.223127,황성초등학교 운동장,경상북도 경주시 양정로287번길 12(용강동),,4713012500,4713000000,4713061500,8938,35.85961627,39,경상북도 경주시 용강동 1151-1,054-760-2035,10833
,1,129.2207571,용황초등학교 운동장,경상북도 경주시 원지길30번길 31(황성동),,4713012400,4713000000,4713061500,5907,35.86506131,43,경상북도 경주시 황성동 325-1,054-760-2035,7160
,1,129.0464964,산내중학교 운동장,경상북도 경주시 산내면 문복로 1797-27 ,,4713034026,4713000000,4713034000,2968,35.75238992,113,경상북도 경주시 산내면 의곡리 70-65,054-760-2035,3597
,1,129.3221919,괘릉초등학교 운동장,경상북도 경주시 외동읍 신계입실길 139-5 ,,4713025934,4713000000,4713025900,1662,35.75996826,135,경상북도 경주시 외동읍 괘릉리 595,054-760-2035,2014
,1,129.2949806,영지초등학교 운동장,경상북도 경주시 외동읍 영지로 449,,4713025933,4713000000,4713025900,1116,35.75380239,137,경상북도 경주시 외동읍 방어리 634,054-760-2035,1352
428-1,1,129.2053007,용장 공영주차장,,,4713033025,4713000000,4713033000,4230,35.77638469,173,경상북도 경주시 내남면 용장리 428-1,054-760-2035,5127
198-4,1,129.2157653,대릉원 주차장,,,4713011000,4713000000,4713057000,5000,35.83512826,175,경상북도 경주시 황남동 198-4,054-760-2035,6060
,1,126.7927434,능안초등학교 운동장,경기도 파주시 조리읍 능안로 145,,4148026226,4148000000,4148026200,2822,37.74023917,4,경기도 파주시 조리읍 능안리 53-6,031-946-0891,3421
,1,126.8198526,파주대원초등학교 운동장,경기도 파주시 조리읍 대원로 30,,4148026227,4148000000,4148026200,2005,37.72686872,5,경기도 파주시 조리읍 대원리 203,031-948-7022,2430
,1,127.1574556,단대초등학교 운동장,경기도 성남시 수정구 단대로 30(단대동),,4113110400,4113000000,4113159000,5900,37.45338512,50,경기도 성남시 수정구 단대동 77,031-746-5474,7152
,1,126.8198646,청람중학교 운동장,전라남도 강진군 군동면 석교로 395,,4681031023,4681000000,4681031000,2100,34.64911478,13,전라남도 강진군 군동면 라천리 161,061-430-8102,636
,1,126.7605258,강진여자중학교 운동장,전라남도 강진군 강진읍 고성길 15-6 ,,4681025023,4681000000,4681025000,1500,34.63991292,14,전라남도 강진군 강진읍 서성리 292,061-433-5802,454
,1,126.1127888,암태중학교,전라남도 신안군 암태면 장단고길 10,,4691042024,4691000000,4691042000,15291,34.82965274,31,전라남도 신안군 암태면 단고리 104,061-271-1551,4633
,1,128.9193562,화북면사무소 주차장,경상북도 영천시 화북면 화북길 93,,4723034021,4723000000,4723034000,875,36.10823056,22,경상북도 영천시 화북면 자천리 1470,054-339-7433,1060
,1,129.000069,북안면 반정3리 공원,,,4723039041,4723000000,4723039000,2900,35.92987452,43,경상북도 영천시 북안면 반정리 158,054-339-7931,3515
,1,128.9576302,우로지생태공원,,,4723010200,4723000000,4723051000,13847,35.98342237,51,경상북도 영천시 망정동 444-14,054-339-7124,16782
,1,128.9322345,영천초등학교 운동장,경상북도 영천시 천문로 253(금노동),,4723011200,4723000000,4723055500,1500,35.96142606,52,경상북도 영천시 금노동 504-1,054-339-7163,1818
,1,128.9219592,영천영화초등학교 운동장,경상북도 영천시 영화새싹길 22(화룡동),,4723011000,4723000000,4723053500,3350,35.96528991,55,경상북도 영천시 화룡동 196-1,054-339-7265,4060
,1,126.5814716,대마초등학교,전라남도 영광군 대마면 영장로 277,,4687031021,4687000000,4687031000,18297,35.30269623,10,전라남도 영광군 대마면 월산리 375,061-352-4004,5544
142-0,1,129.0616383,청송군민운동장,경상북도 청송군 청송읍 중앙로 306-39 ,,4775025021,4775000000,4775025000,15547,36.43236708,2,경상북도 청송군 청송읍 월막리 142,054-870-6786,18845
171-11,1,126.4036274,목포공고 운동장,전라남도 목포시 용당로 100(용당동),,4611010100,4611000000,4611052000,10701,34.79608311,4,전라남도 목포시 용당동 171-11,061-800-7200,12970
,1,126.3909275,남초등학교 운동장,전라남도 목포시 산정로21번길 22(호남동),,4611010800,4611000000,4611064000,8781,34.7911582,11,전라남도 목포시 호남동 567,061-244-2903,10644
,1,129.0978054,부남초등학교 운동장,경상북도 청송군 부남면 부남로 509,,4775032033,4775000000,4775032000,5757,36.3135851,9,경상북도 청송군 부남면 하속리 97,054-870-6786,6978
,1,128.9606168,안덕초등학교 운동장,경상북도 청송군 안덕면 노하길 35(안덕초등학교),,4775035033,4775000000,4775035000,695,36.29305688,14,경상북도 청송군 안덕면 명당리 503-1,054-870-6786,8433
,1,128.8424433,송정중학교 운동장,부산광역시 강서구 가락대로 230-72 (송정동),,2644010900,2644000000,2644056000,2318,35.10660526,69,부산광역시 강서구 송정동 1437-19,051-970-2754,2809
,1,127.077303,반송고등학교 운동장,경기도 화성시 동탄구 동탄반석로 21(반송동),,4159710200,4159000000,4159752000,3854,37.19244398,105,경기도 화성시 동탄구 반송동 213,031-5189-3456,4671
700-0,1,127.0734286,이충레포츠공원,경기도 평택시 장안웃길 149(이충동),,4122010900,4122000000,4122051000,50000,37.06495452,44,경기도 평택시 이충동 700,031-8024-4926,60606
,1,127.098224,덕동산유아숲체험원,,,4122011800,4122000000,4122061000,11000,36.99932375,51,경기도 평택시 비전동 802,031-8024-4926,13333
,1,127.0935242,모산골공원,,,4122011900,4122000000,4122061000,20000,37.01526787,55,경기도 평택시 동삭동 390,031-8024-4926,24242
,1,129.0319508,파천초등학교 운동장,경상북도 청송군 파천면 안파로 1357,,4775036032,4775000000,4775036000,4700,36.44492979,16,경상북도 청송군 파천면 관리 774-1,054-870-6786,5697
138-4,1,128.2944015,서당공원,,,4719025024,4719000000,4719025000,1500,36.23919452,39,경상북도 구미시 선산읍 이문리 138-4,054-480-6744,1818
,1,128.4411189,다솜공원,,,4719012000,4719000000,4719067000,2223,36.09123983,68,경상북도 구미시 구평동 464-2,054-480-6744,2695
,1,128.3322869,구미여자고등학교 운동장,경상북도 구미시 문장로 114(도량동),,4719010300,4719000000,4719055100,10082,36.14441982,79,경상북도 구미시 도량동 682,054-480-6744,12221
,1,128.3596881,오양공원,,,4719011700,4719000000,4719064500,156,36.08868068,82,경상북도 구미시 임은동 444-5,054-480-6744,1901
,1,128.3560978,애린공원,,,4719011600,4719000000,4719064500,1723,36.09071644,87,경상북도 구미시 상모동 45,054-480-6744,2088
441-7,1,127.6706654,단월레포츠공원,,,4183036021,4183000000,4183036000,10000,37.5445518,9,경기도 양평군 단월면 보룡리 441-7,031-770-2428,12121
,1,127.3425482,원신흥초등학교 운동장,대전광역시 유성구 원신흥로55번길 37(원신흥동),,3020011400,3020000000,3020061000,2771,36.34098769,26,대전광역시 유성구 원신흥동 496,042-826-9812,3358
,1,128.5813559,대구남도초등학교 운동장,대구광역시 남구 현충동길 74(대명동),,2720010300,2720000000,2720060000,1900,35.84465209,28,대구광역시 남구 대명동 1709,053-234-0889,2303
,1,127.6388034,지평면사무소 주차장,경기도 양평군 지평면 지평의병로116번길 1,,4183039521,4183000000,4183039500,3800,37.47419394,12,경기도 양평군 지평면 지평리 584-1,031-770-2428,4606
,1,128.0873443,봉래초등학교 운동장,경상남도 진주시 의병로 265(봉래동),,4817011500,4817000000,4817056500,3354,35.19987876,45,경상남도 진주시 봉래동 27-2,055-746-8855,3016
,1,126.905853,금천고등학교 운동장,서울특별시 금천구 시흥대로38길 26(시흥동),,1154510300,1154500000,1154569000,1967,37.444908,68,서울특별시 금천구 시흥동 산 24-4,02-896-3186,2384
,1,126.850288,영등포공업고등학교 운동장,서울특별시 강서구 허준로5길 15(가양동),,1150010400,1150000000,1150060400,3168,37.5693683,123,서울특별시 강서구 가양동 1468,02-2600-6439,3841
,1,127.7555197,양동중고등학교 학교운동장,,,4183038021,4183000000,4183038000,5500,37.42110085,11,경기도 양평군 양동면 쌍학리 215-2,031-770-2428,6666
,1,127.3216279,하기초등학교 운동장,,,3020013200,3020000000,3020054700,2773,36.38864212,30,대전광역시 유성구 하기동 514,042-824-8094,3361
,1,127.338783,흥도초등학교 운동장,,,3020011400,3020000000,3020061000,2653,36.33415015,25,대전광역시 유성구 원신흥동 555,042-822-3368,3215
,1,127.3219144,상지초등학교 운동장,,,3020012000,3020000000,3020054600,2687,36.37536444,28,대전광역시 유성구 지족동 915,042-477-5985,3256
,1,127.3325475,송림초등학교 운동장,,,3020013200,3020000000,3020054700,3786,36.3886695,29,대전광역시 유성구 하기동 548,042-608-1500,4589
,1,127.3813053,대덕초등학교 운동장,,,3020012700,3020000000,3020055000,2450,36.38509693,33,대전광역시 유성구 도룡동 396,042-861-7615,2969
,1,126.9875709,가꿀공원,,,1165010100,1165000000,1165053000,795,37.48797226,70,서울특별시 서초구 방배동 859-1,02-2155-7112,964
,1,126.9813445,이촌한우리공원,,,1117012900,1117000000,1117063000,4325,37.51762415,60,서울특별시 용산구 이촌동 437,02-2199-7605,5242
,1,127.062144,대치초등학교 운동장,서울특별시 강남구 양재천로 363(대치동),,1168010600,1168000000,1168060000,7800,37.49095969,52,서울특별시 강남구 대치동 505,02-3423-8305,9454
,1,127.0610061,대명중학교 운동장,서울특별시 강남구 역삼로87길 26(대치동),,1168010600,1168000000,1168061000,5400,37.50588886,56,서울특별시 강남구 대치동 952,02-3423-8406,6545
,1,127.0537667,대도초등학교 운동장,서울특별시 강남구 선릉로 209(도곡동),,1168011800,1168000000,1168065600,4100,37.49258223,61,서울특별시 강남구 도곡동 106-1,02-3423-7556,4969
,1,127.0420043,강남구보건소 주차장,서울특별시 강남구 선릉로 668(삼성동),,1168010500,1168000000,1168059000,1000,37.5162068,73,서울특별시 강남구 삼성동 8,02-3423-8207,1212
,1,127.0962754,대진디자인고등학교 운동장,서울특별시 강남구 광평로39길 93(수서동),,1168011500,1168000000,1168075000,2952,37.49072097,97,서울특별시 강남구 수서동 733,02-3423-8557,3578
,1,127.0480185,진선여자중학교 운동장,서울특별시 강남구 선릉로85길 27(역삼동),,1168010100,1168000000,1168065000,9800,37.50171046,114,서울특별시 강남구 역삼동 713,02-3423-7354,11878
,1,127.0785539,대진근린공원,서울특별시 강남구 개포로109길 62(개포동),,1168010300,1168000000,1168074000,3000,37.49557965,124,서울특별시 강남구 개포동 13-1,02-3423-8453,3636
,1,127.0758936,한마음공원,서울특별시 강남구 남부순환로 3142-30 (개포동),,1168010300,1168000000,1168066000,2488,37.49578594,125,서울특별시 강남구 개포동 12-3,02-3423-8453,3016
,1,127.9205963,칠금4호 공원,충청북도 충주시 칠금중앙4길 20(칠금동),,4313011600,4313000000,4313062500,3500,36.98148498,142,충청북도 충주시 칠금동 965,043-850-2728,4242
670-0,1,128.5472395,원덕어린이공원,,,2729011600,2729000000,2729061000,2535,35.80568373,227,대구광역시 달서구 도원동 670,053-667-4691,3072
,1,129.0994015,안진초등학교 운동장,부산광역시 동래구 안남로 63(안락동),,2626010200,2626000000,2626074000,2400,35.19471683,78,부산광역시 동래구 안락동 1252,051-520-1600,2909
559-1,1,127.1572906,천안여자중학교 운동장,충청남도 천안시 동남구 원거리11길 31(원성동),,4413110700,4413000000,4413154000,7985,36.80163074,63,충청남도 천안시 동남구 원성동 559-1,041-552-3565,9679
,1,127.248888,새롬초등학교 운동장,세종특별자치시  새롬서로 56(새롬동),,3611010800,3611000000,3611051500,810,36.48505564,84,세종특별자치시 세종시 새롬동 595,044-999-5606,981
,1,126.957919,봉원중학교 운동장,서울특별시 관악구 관악로24가길 15(봉천동),,1162010100,1162000000,1162057500,7940,37.48436175,34,서울특별시 관악구 봉천동 25-19,02-879-4351,9624
,1,129.060028,양산희망학교 운동장,경상남도 양산시 상북면 충렬로 993-25 ,,4833033025,4833000000,4833033000,1000,35.4272,63,경상남도 양산시 상북면 상삼리 564-3,055-392-2843,1212
,1,129.026287,목련어린이공원,,,4833031027,4833000000,4833031000,2600,35.300711,69,경상남도 양산시 동면 금산리 850,055-392-2843,3152
1501-1,1,129.0241497,수질정화공원,,,4833031027,4833000000,4833031000,50000,35.30690339,70,경상남도 양산시 동면 금산리 1501-1,055-392-2843,60606
,1,128.996865,통새미공원,,,4833025323,4833000000,4833025300,3967,35.320589,79,경상남도 양산시 물금읍 가촌리 1248-2,055-392-2843,4808
,1,129.0663046,주민쉼터,,,4833033021,4833000000,4833033000,2200,35.41269938,99,경상남도 양산시 상북면 석계리 323,055-392-2843,2667
,1,127.0326304,수송초등학교 운동장,서울특별시 강북구 한천로124길 14(번동),,1130510200,1130500000,1130559000,1005,37.63674603,56,서울특별시 강북구 번동 456,02-901-5907,1218
,1,126.9519541,문화원 정자마당,서울특별시 용산구 효창원로8길 28(원효로4가),,1117011800,1117000000,1117057000,621,37.53357951,42,서울특별시 용산구 원효로4가 87-2,02-2199-7602,753
,1,126.9530503,산천동 마을마당,,,1117011500,1117000000,1117057000,667,37.53554422,43,서울특별시 용산구 산천동 200,02-2199-7602,808
,1,128.5347097,속초종합운동장,강원특별자치도 속초시 관광로363번길 92(노학동),,5121010700,5121000000,5121057000,14454,38.19274646,14,강원특별자치도 속초시 노학동 1000-332,033-639-2802,17520
,1,127.1124656,풍성중학교 운동장,서울특별시 송파구 강동대로2길 27(풍납동),,1171010300,1171000000,1171052000,7260,37.52534227,48,서울특별시 송파구 풍납동 388-16,221473105,8800
,1,127.1314531,세륜중학교 운동장,서울특별시 송파구 양재대로72길 41(오금동),,1171011200,1171000000,1171057000,2558,37.50847484,56,서울특별시 송파구 오금동 7-3,02-2147-3105,3101
749-4,1,126.8211132,마곡하늬공원,서울특별시 강서구 마곡서로 13(마곡동),,1150010500,1150000000,1150062000,20078,37.55683868,131,서울특별시 강서구 마곡동 749-4,02-2600-4112,24337
,1,126.9394689,용호고등학교 운동장,경기도 군포시 용호2로 10(당동),,4141010100,4141000000,4141052000,3957,37.34232054,31,경기도 군포시 당동 875,031-341-4464,4796
,1,127.3840929,송강초등학교 운동장,,,3020014700,3020000000,3020058000,5135,36.43394049,34,대전광역시 유성구 송강동 196,042-934-7325,6224
,1,128.5979056,대구봉덕초등학교 운동장,대구광역시 남구 효성로 71(봉덕동),,2720010200,2720000000,2720055000,4927,35.83937084,31,대구광역시 남구 봉덕동 1319-1,053-234-0581,5972
,1,128.5687923,대구대명초등학교 운동장,대구광역시 남구 대명로 100(대명동),,2720010300,2720000000,2720061000,1242,35.83878565,34,대구광역시 남구 대명동 960,053-234-0205,1505
,1,127.1203528,영파여자고등학교 운동장,서울특별시 송파구 올림픽로 565(풍납동),,1171010300,1171000000,1171052000,5385,37.53252363,49,서울특별시 송파구 풍납동 501,02-2147-3105,6527
,1,127.1362119,오주중학교 운동장,서울특별시 송파구 동남로 281(오금동),,1171011200,1171000000,1171057000,5160,37.50104191,58,서울특별시 송파구 오금동 59,02-2147-3105,6255
,1,127.1283661,오금중학교 운동장,서울특별시 송파구 오금로35길 20(오금동),,1171011200,1171000000,1171057000,8171,37.50493963,61,서울특별시 송파구 오금동 34,02-2147-3105,9904
,1,127.0890054,버들초등학교 운동장,서울특별시 송파구 석촌호수로 81(잠실동),,1171010100,1171000000,1171068000,960,37.51004491,41,서울특별시 송파구 잠실동 35-6,02-2147-3105,1164
,1,127.0951587,신천초등학교 운동장,서울특별시 송파구 올림픽로 215(잠실동),,1171010100,1171000000,1171068000,5750,37.51358183,42,서울특별시 송파구 잠실동 27-5,02-2147-3105,6970
,1,128.5527564,진부고등학교 운동장,강원특별자치도 평창군 진부면 솔천길 69,,5176036021,5176000000,5176036000,7244,37.63539562,11,강원특별자치도 평창군 진부면 하진부리 258-2,033-335-7501,8780
,1,128.7112388,횡계초등학교 운동장,강원특별자치도 평창군 대관령면 꽃밭양지길 16-3 ,,5176038024,5176000000,5176038000,5848,37.67587518,10,강원특별자치도 평창군 대관령면 횡계리 304-3,033-336-7828,7088
,1,128.628056,북면초등학교 승산분교 운동장,경상남도 창원시 의창구 북면 구룡로312번길 7,,4812131023,4812000000,4812131000,3788,35.30402245,41,경상남도 창원시 의창구 북면 대산리 56-2,055-212-4656,4591
,1,127.1216507,방산중학교 운동장,서울특별시 송파구 오금로29길 31(방이동),,1171011100,1171000000,1171056100,6510,37.50892697,51,서울특별시 송파구 방이동 220,221473105,7891
,1,127.116303,풍납중학교 운동장,서울특별시 송파구 올림픽로43길 20(풍납동),,1171010300,1171000000,1171052000,4070,37.52530511,47,서울특별시 송파구 풍납동 390,221473105,4933
,1,128.563895,비산초등학교,대구광역시 서구 통학로 202(평리동),,2717010300,2717000000,2717062000,5290,35.87852544,44,대구광역시 서구 평리동 662-1,053-663-2895,6412
34-0,1,128.6922017,신월운동장,경상남도 창원시 성산구 신월로17번길 6(신월동),,4812313600,4812100000,4812351500,14630,35.2301131,24,경상남도 창원시 성산구 신월동 34,055-272-4654,17733
,1,127.0811856,잠일초등학교 운동장,서울특별시 송파구 올림픽로 95(잠실동),,1171010100,1171000000,1171067000,2146,37.51464682,38,서울특별시 송파구 잠실동 19-1,02-2147-3105,2601
388-16,1,127.112487,풍성초등학교 운동장,서울특별시 송파구 강동대로2길 27(풍납동),,1171010300,1171000000,1171052000,6240,37.5252668,11,서울특별시 송파구 풍납동 388-16,221473105,7564
,1,127.0926211,삼전초등학교 운동장,서울특별시 송파구 백제고분로28길 19(삼전동),,1171010600,1171000000,1171061000,3645,37.5013485,26,서울특별시 송파구 삼전동 63,02-2147-3105,4418
,1,127.075559,아주초등학교 운동장,서울특별시 송파구 올림픽로4길 59(잠실동),,1171010100,1171000000,1171072000,6938,37.50552382,46,서울특별시 송파구 잠실동 115,02-2147-3105,8409
,1,127.1461669,거원중학교 운동장,서울특별시 송파구 양산로2길 30(거여동),,1171011300,1171000000,1171053200,5142,37.48767591,50,서울특별시 송파구 거여동 296,02-2147-3105,6233
355-12,1,126.838856,필마공원,,,1150010300,1150000000,1150054000,1056,37.53152694,117,서울특별시 강서구 화곡동 355-12,02-2600-4112,1280
,1,126.8541072,사동 임시공영주차장,경기도 안산시 상록구 석호공원로5길 8(사동),,4127110300,4127000000,4127152500,28273,37.30161452,95,경기도 안산시 상록구 사동 1253-8,031-481-2175,34270
,1,127.1221707,평화초등학교 운동장,서울특별시 송파구 송파대로26길 22(가락동),,1171010700,1171000000,1171062000,8136,37.49128501,28,서울특별시 송파구 가락동 106,02-2147-3105,9862
,1,127.3675734,대전갑천초등학교운동장,,,3017011300,3017000000,3017058600,850,36.36031201,27,대전광역시 서구 월평동 308,042-488-3323,1030
,1,127.3362946,대전원앙초등학교운동장,,,3017011600,3017000000,3017059600,584,36.31119991,30,대전광역시 서구 관저동 49,042-544-8673,708
,1,127.4002696,백봉초등학교 운동장,,,4146135023,4146000000,4146135000,1104,37.13786594,93,경기도 용인시 처인구 백암면 백봉리 192,031-339-2291,1338
,1,126.7384024,부개고등학교 운동장,인천광역시 부평구 수변로57번길 36(부개동),,2823710700,2823700000,2823766000,1800,37.492355,128,인천광역시 부평구 부개동 191-74,032-722-5777,2181
,1,126.745637,인천한길초등학교 운동장,인천광역시 부평구 영성중로 32(삼산동),,2823710500,2823700000,2823764600,1920,37.51885191,134,인천광역시 부평구 삼산동 393-1,032-507-4874,2327
,1,127.1395377,개롱초등학교 운동장,서울특별시 송파구 문정로 211(오금동),,1171011200,1171000000,1171057000,2441,37.49693429,22,서울특별시 송파구 오금동 159,02-2147-3105,2959
,1,127.130462,문현초등학교 운동장,서울특별시 송파구 충민로 137(장지동),,1171010900,1171000000,1171064600,2113,37.48243184,34,서울특별시 송파구 장지동 836,02-2147-3105,2561
,1,126.7404545,진산중학교 운동장,인천광역시 부평구 충선로234번길 70(삼산동),,2823710500,2823700000,2823764800,2100,37.50922905,135,인천광역시 부평구 삼산동 454-11,032-511-1799,2545
1221-1,1,127.0711546,전주월드컵경기장,전북특별자치도 전주시 덕진구 혁신로 617(여의동),,5211313000,5211000000,5211366500,12320,35.86875057,150,전북특별자치도 전주시 덕진구 여의동 1221-1,063-281-5165,14933
1310-0,1,127.1315005,전주화정초등학교,전북특별자치도 전주시 덕진구 세병로 55(송천동2가),,5211312200,5211000000,5211364300,2000,35.87259016,152,전북특별자치도 전주시 덕진구 송천동2가 1310,063-281-5165,2424
,1,128.388086,창촌초등학교 운동장,강원특별자치도 홍천군 내면 구룡령로 5198,,5172039021,5172000000,5172039000,5146,37.76776535,14,강원특별자치도 홍천군 내면 창촌리 1624-5,033-430-6007,6238
,1,127.12099,방이초등학교 운동장,서울특별시 송파구 위례성대로10길 4(방이동),,1171011100,1171000000,1171056100,5921,37.51336054,16,서울특별시 송파구 방이동 167,02-2147-3105,7177
,1,127.0878034,잠신중학교 운동장,서울특별시 송파구 잠실로 12(잠실동),,1171010100,1171000000,1171067000,6770,37.51576355,72,서울특별시 송파구 잠실동 22-1,02-2147-3105,8206
,1,127.1428689,영풍초등학교 운동장,서울특별시 송파구 오금로57길 15(거여동),,1171011300,1171000000,1171053100,3025,37.49589501,12,서울특별시 송파구 거여동 12,02-2147-3105,3667
,1,127.1344906,오륜초등학교 운동장,서울특별시 송파구 양재대로 1196(방이동),,1171011100,1171000000,1171056600,5364,37.51205435,19,서울특별시 송파구 방이동 89-16,02-2147-3105,6502
,1,127.1129523,방이중학교 운동장,서울특별시 송파구 오금로11길 64(방이동),,1171011100,1171000000,1171056200,4985,37.51438794,52,서울특별시 송파구 방이동 53,02-2147-3105,6042
,1,127.1386744,오륜중학교 운동장,서울특별시 송파구 양재대로 1242(방이동),,1171011100,1171000000,1171056600,2650,37.51578346,53,서울특별시 송파구 방이동 89-7,02-2147-3105,3212
,1,127.0959594,배명중학교 운동장,서울특별시 송파구 삼학사로 11(삼전동),,1171010600,1171000000,1171061000,4006,37.49833407,64,서울특별시 송파구 삼전동 172-1,02-2147-3105,4856
,1,127.1224039,가원중학교 운동장,서울특별시 송파구 중대로10길 40-18 (가락동),,1171010700,1171000000,1171062000,2224,37.49073238,66,서울특별시 송파구 가락동 106-3,02-2147-3105,2696
,1,127.2274894,두루고등학교 운동장,세종특별자치시  마음안1로 53(고운동),,3611011200,3611000000,3611055000,3280,36.51580162,66,세종특별자치시 세종시 고운동 898,044-903-2204,3975
,1,127.2841859,보람고등학교 운동장,세종특별자치시  한누리대로 2176(보람동),,3611010300,3611000000,3611056000,3352,36.4772141,70,세종특별자치시 세종시 보람동 729,044-999-7120,4063
,1,127.1383717,송례초등학교 운동장,서울특별시 송파구 위례순환로 439(장지동),,1171010900,1171000000,1171064700,1760,37.47738832,35,서울특별시 송파구 장지동 898,02-2147-3105,2133
,1,127.104815,잠현초등학교 운동장,서울특별시 송파구 올림픽로37길 109(신천동),,1171010200,1171000000,1171069000,1574,37.52202328,44,서울특별시 송파구 신천동 17-2,02-2147-3105,1908
,1,127.1001158,잠동초등학교 운동장,서울특별시 송파구 올림픽로35길 122(신천동),,1171010200,1171000000,1171071000,2947,37.51798276,45,서울특별시 송파구 신천동 7-2,02-2147-3105,3573
,1,127.1522978,마천초등학교 운동장,서울특별시 송파구 마천로61다길 24(마천동),,1171011400,1171000000,1171054000,3600,37.49531308,14,서울특별시 송파구 마천동 183-4,02-2147-3105,4364
,1,127.1509204,남천초등학교 운동장,서울특별시 송파구 성내천로 207(마천동),,1171011400,1171000000,1171055000,2259,37.50108036,15,서울특별시 송파구 마천동 53,02-2147-3105,2738
61-0,1,128.6807902,용호운동장,경상남도 창원시 성산구 용호로 85(용호동),,4812313500,4812100000,4812351500,12439,35.23600579,23,경상남도 창원시 성산구 용호동 61,055-272-5800,15077
,1,127.2368342,고운초등학교 운동장,세종특별자치시  만남로 45(고운동),,3611011200,3611000000,3611055000,2509,36.50379791,48,세종특별자치시 세종시 고운동 1711,044-903-4306,3041
,1,127.23041,가락초등학교 운동장,세종특별자치시  마음로 208(고운동),,3611011200,3611000000,3611053000,2603,36.51543,55,세종특별자치시 세종시 고운동 1366,044-903-1270,3155
,1,127.3021352,소담초등학교 운동장,세종특별자치시  소담1로 25(소담동),,3611010200,3611000000,3611055500,2706,36.48320963,57,세종특별자치시 세종시 소담동 593,044-861-7303,3280
